Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,19 to 64,Percentage,state
5074296,2461248,2613048,284064,311592,318523,340067,2907037,57,Alabama
733583,385667,347916,46497,49637,51178,44794,440003,59,Alaska
7359197,3678381,3680816,393413,438358,463552,487734,4194186,56,Arizona
3045637,1504488,1541149,177765,196453,200389,203500,1728688,56,Arkansas
39029342,19536425,19492917,2118386,2285436,2550172,2568788,23347658,59,California
5839926,2960896,2879030,305063,324472,360878,369814,3564038,61,Colorado
3626205,1776689,1849516,178453,195805,217577,245675,2124983,58,Connecticut
1018396,494657,523739,54058,57518,59905,62893,571842,56,Delaware
671803,319763,352040,39035,37268,31558,36668,439920,65,District of Columbia
22244823,10953468,11291355,1101350,1162982,1260197,1275398,12650482,56,Florida
10912876,5323951,5588925,621126,683215,741043,762949,6460268,59,Georgia
1440196,725309,714887,78927,82233,88272,77574,818536,56,Hawaii
1939033,976925,962108,111816,127781,139762,138308,1091836,56,Idaho
12582032,6229035,6352997,674211,735342,808148,820510,7378881,58,Illinois
6833037,3392667,3440370,399031,439398,445513,474821,3916848,57,Indiana
3200517,1607659,1592858,180010,200720,207426,221129,1802353,56,Iowa
2937150,1473791,1463359,176673,186340,203412,207208,1657175,56,Kansas
4512310,2233158,2279152,260433,281095,284053,293874,2601742,57,Kentucky
4590241,2248146,2342095,270937,287552,313246,306657,2631788,57,Louisiana
1385340,684557,700783,61018,69458,70100,74870,797001,57,Maine
6164660,3004117,3160543,349193,373075,387050,389324,3623239,58,Maryland
6981974,3419487,3562487,342252,359840,386696,454230,4178856,59,Massachusetts
10034118,4979089,5055029,536805,571751,615180,643459,5789361,57,Michigan
5717184,2869638,2847546,328095,363889,368761,373716,3287676,57,Minnesota
2940057,1426689,1513368,169303,176516,205864,215884,1659306,56,Mississippi
6177957,3046351,3131606,349648,375656,394409,410378,3534730,57,Missouri
1122867,567273,555594,57024,62553,72960,69694,634500,56,Montana
1967923,988837,979086,121107,130922,137862,142514,1100621,55,Nebraska
3177772,1599922,1577850,172575,192523,200260,193726,1880197,59,Nevada
1395231,696786,698445,62666,68161,70890,85585,825946,59,New Hampshire
9261699,4564704,4696995,513333,533608,585993,576961,5440078,58,New Jersey
2113344,1047785,1065559,104994,123352,141184,144717,1194313,56,New Mexico
19677151,9628899,10048252,1055455,1070033,1161685,1198745,11626637,59,New York
10698973,5229792,5469181,584492,621266,678318,704046,6244237,58,North Carolina
779261,398845,380416,47844,52217,51533,55008,442366,56,North Dakota
11756058,5810211,5945847,661196,691486,747870,757937,6728904,57,Ohio
4019800,2004195,2015605,240173,262609,282676,283637,2288709,56,Oklahoma
4240137,2121651,2118486,199584,229279,250140,257747,2486673,58,Oregon
12972008,6399830,6572178,668734,719322,761677,841351,7441870,57,Pennsylvania
1093734,535841,557893,51955,53959,59764,73740,648199,59,Rhode Island
5282634,2569909,2712725,281426,309601,327157,347645,3008187,56,South Carolina
909824,462457,447367,57246,59977,63989,62422,500281,54,South Dakota
7051339,3462618,3588721,402215,422122,439813,446948,4122277,58,Tennessee
30029572,15021141,15008431,1881718,2070802,2173132,2160735,17706100,58,Texas
3380800,1716117,1664683,228464,253833,278120,277956,1938728,57,Utah
647064,320698,326366,27875,30605,34125,43011,371621,57,Vermont
8683619,4299314,4384305,481682,507493,544175,569202,5119025,58,Virginia
7785786,3930411,3855375,421722,464035,473406,457060,4660421,59,Washington
1775156,882101,893055,87469,96217,102819,111760,1000729,56,West Virginia
5892539,2958771,2933768,309244,333686,369101,385002,3393120,57,Wisconsin
581381,297855,283526,30444,37271,38701,38287,328690,56,Wyoming
3221789,1528789,1693000,99432,133195,170757,197196,1864363,57,Puerto Rico
