State,anio,Observed Number
Alabama,2020,181293.0
Alaska,2020,14668.0
Arizona,2020,219166.0
Arkansas,2020,108467.0
California,2020,916056.0
Colorado,2020,136611.0
Connecticut,2020,107118.0
Delaware,2020,31543.0
District of Columbia,2020,21156.0
Florida,2020,701147.0
Georgia,2020,297406.0
Hawaii,2020,35609.0
Idaho,2020,47540.0
Illinois,2020,366189.0
Indiana,2020,225592.0
Iowa,2020,101613.0
Kansas,2020,88993.0
Kentucky,2020,161068.0
Louisiana,2020,162084.0
Maine,2020,46093.0
Maryland,2020,170673.0
Massachusetts,2020,195250.0
Michigan,2020,331624.0
Minnesota,2020,149561.0
Mississippi,2020,111532.0
Missouri,2020,218811.0
Montana,2020,34482.0
Nebraska,2020,56462.0
Nevada,2020,89709.0
New Hampshire,2020,39529.0
New Jersey,2020,266197.0
New Mexico,2020,65783.0
New York,2020,339291.0
New York City,2020,222906.0
North Carolina,2020,318500.0
North Dakota,2020,24892.0
Ohio,2020,412444.0
Oklahoma,2020,132548.0
Oregon,2020,118309.0
Pennsylvania,2020,446582.0
Puerto Rico,2020,94593.0
Rhode Island,2020,34312.0
South Carolina,2020,173586.0
South Dakota,2020,28478.0
Tennessee,2020,254804.0
Texas,2020,720635.0
United States,2020,9693672.0
Utah,2020,64493.0
Vermont,2020,18211.0
Virginia,2020,230198.0
Washington,2020,184107.0
West Virginia,2020,74544.0
Wisconsin,2020,179753.0
Wyoming,2020,16054.0
