State Name,Total Non-Elderly Population (Excluding Undocumented),Uninsured Population (Excluding Undocumented),Percent Uninsured,HIU Income < 100% FPL,HIU Income 100-138% FPL,HIU Income 139-249% FPL,HIU Income 250-400% FPL,HIU Income 400% FPL,Age 0-18,Age 19-34,Age 35-49,Age 50-64,Male,Female,Married,Child in Family,Spanish/Hispanic/Latino Origin,White Non-Latino,Black Non-Latino,Asian / Native-Hawaiian / Pac Islander,American Indian / Alaska Native,Multi-racial or Other,SNAP Recipient,With a disability,Full-time Worker in Family,Employed in Agriculture Industry,Employed in Mining/Construction Industry,Employed in Manufacturing Industry,Employed in Trade Industry,Employed in Info/Finance Industry,Employed in Education/Health Industry,Employed in Entertainment Industry,Employed in Service Industry,Employed in Military/Public Industry,Less than High School,High School Diploma,College Grad,No English Speaking Adults in HH,English Spoken in HH,Spanish Spoken in HH,Chinese Spoken in HH,Korean Spoken in HH,Vietnamese Spoken in HH,Tagalog Spoken in HH,Russian Spoken in HH,Other Language Spoken in HH
Alabama,3986500,456100,0.10999999940395355,213000,48800,94700,59100,40400,36800,188500,128300,102400,253100,202900,116500,136600,25700,263500,153800,4000,1900,7100,119200,63800,324100,4300,48600,40200,73000,42500,43800,54800,18600,10000,100200,318600,37300,10000,442000,11600,600,200,**,**,**,1200
Alaska,629300,80300,0.12999999523162842,21100,8100,22100,17900,11000,13300,37700,16200,13200,49500,30800,15500,27200,8800,32700,1800,3900,22800,10400,7600,5600,66100,2800,7600,3900,13000,8400,8600,6000,4900,4200,8300,61900,10100,600,77600,1000,**,**,**,100,**,1300
Arizona,5720700,698800,0.11999999731779099,220400,63200,196000,130000,89300,144800,253800,166800,133300,397500,301300,173800,284100,296800,261100,35500,18800,70300,16300,84800,54800,554900,9700,60800,26500,90200,92300,60000,82700,36600,14900,119700,474200,104800,51500,625400,57200,1500,300,1200,**,200,12900
Arkansas,2443900,257200,0.10999999940395355,88700,29500,79600,39800,19500,37600,99200,72300,48100,149600,107600,77700,95600,29400,167300,44500,5500,5000,5500,31300,22800,201000,6500,28400,18700,37900,24500,25700,30100,11200,7300,44500,193800,18900,11000,243700,10500,**,**,**,**,**,2900
California,32060700,2397600,0.07000000029802322,729900,196800,629300,447500,394000,325600,968800,623300,479900,1373600,1024000,701900,835100,1340100,574800,142300,258300,17700,64300,268700,151000,1889400,66800,194300,125900,368500,310500,208500,274900,118400,68900,518100,1476400,403100,340000,1808400,451900,32700,23700,14100,10100,3900,52900
Colorado,4758400,392300,0.07999999821186066,90600,27600,102900,89300,81900,63900,156500,103400,68600,227000,165400,120600,148200,122000,224000,19100,11900,4400,10900,25500,32500,330100,7300,44500,15600,54400,50500,37800,52700,19700,6200,51300,259900,81200,26600,358800,23800,1500,600,600,**,1000,5900
Connecticut,2795000,142200,0.05000000074505806,31400,9900,34900,29900,36000,20600,52300,36700,32600,86500,55700,37100,50000,33900,77100,19500,5200,200,6300,14400,9000,118200,700,13000,8200,23200,19000,16100,16200,6100,2400,17300,91500,33400,14000,121500,11100,300,**,600,300,**,8200
Delaware,757200,57800,0.07999999821186066,18600,3900,16100,10300,8900,8600,24800,11900,12500,36200,21600,12100,18700,5600,31300,17300,1200,**,2300,7300,6400,42700,1200,4700,2700,10000,8400,4800,6800,3000,1100,10400,36600,10700,2700,52800,2500,300,200,**,**,**,1800
District of Columbia,601300,22100,0.03999999910593033,9200,1400,4500,2700,4300,2700,11100,5200,3200,15600,6600,2700,4500,2700,3500,14800,400,**,800,3500,2200,14800,**,1100,**,2500,3300,3100,2500,1300,2500,2200,13400,6500,800,21400,500,**,**,**,**,**,**
Florida,16240100,2519500,0.1599999964237213,873800,237200,663400,426600,318500,312000,917900,716600,573000,1406600,1112900,671700,828900,831900,1073900,488600,56500,7000,61700,496700,218700,1948400,31900,261200,79200,390500,355600,223000,331700,137100,57500,440700,1686800,392100,270200,2108700,345400,6500,800,3900,1500,2000,50800
Georgia,8745400,1268500,0.15000000596046448,515600,131700,310700,183400,127100,180500,497100,347200,243600,698600,569900,314200,447100,175300,567400,467500,25600,4100,28500,250400,133000,942800,13200,117300,80100,196600,156600,105500,150100,54700,33900,241800,862600,164000,57800,1190200,60200,1300,1300,1400,400,300,13200
Hawaii,1103200,51200,0.05000000074505806,21200,3300,10200,7000,9500,9600,19000,11300,11200,29100,22100,12400,15700,6400,12700,100,23700,**,8300,8700,4500,36900,1000,4600,900,4900,7900,5000,6000,2200,2400,3600,36400,11200,3500,45300,400,600,200,**,700,**,4000
Idaho,1470500,170900,0.11999999731779099,50600,18000,45200,35000,22100,22200,66200,45400,37100,89500,81400,59600,66400,30700,128700,1300,1900,4300,3900,31100,16200,144000,7300,19600,8000,25000,18200,21000,25200,8300,3900,25500,120800,24500,9300,162600,7700,**,**,**,**,**,400
Illinois,10228500,751100,0.07000000029802322,227800,65300,200200,127400,130500,116400,280300,200000,154400,430200,320900,200000,280300,210000,342100,153900,29700,1000,14500,125400,58000,605500,6300,51700,52500,120700,88000,77500,85200,38000,19400,117300,498500,135300,61400,646400,71400,5600,900,1100,1000,1800,22700
Indiana,5554800,557400,0.10000000149011612,169500,60300,160700,98400,68500,113700,200700,137400,105500,314900,242600,145800,239400,61600,403600,66300,8300,1700,15900,58800,49700,456700,6600,46800,60800,85700,49100,48100,69000,21800,10600,130800,364400,62200,33600,516900,20000,500,700,300,**,**,18600
Iowa,2559500,135800,0.05000000074505806,36900,11300,38700,26000,22900,18700,52800,33100,31300,84900,51000,36800,45400,17500,99700,10500,2300,2100,3600,18400,10300,116000,4900,15000,13900,23000,18400,11700,13700,5200,1500,22400,95600,17800,5100,129100,4200,**,**,300,**,**,1900
Kansas,2366200,235400,0.10000000149011612,78200,29200,61200,37200,29600,38800,86400,62300,47900,125900,109500,65500,95000,45300,141900,26300,5700,2700,13500,36400,33900,194700,5000,20800,18300,37800,20000,26300,28900,12200,6500,42500,161500,31500,16100,218200,10900,1200,**,900,**,**,4000
